t,total_topples_at_t,unique_topples_at_t,edge_loss,average_height,cum_topples
1,0,0,0,0.0004,0
2,0,0,0,0.0008,0
3,0,0,0,0.0012,0
4,1,1,0,0.0016,1
5,1,0,0,0.002,1
6,1,0,0,0.0024,1
7,1,0,0,0.0028,1
8,2,1,0,0.0032,2
9,2,0,0,0.0036,2
10,2,0,0,0.004,2
11,2,0,0,0.0044,2
12,3,1,0,0.0048,3
13,3,0,0,0.0052,3
14,3,0,0,0.0056,3
15,3,0,0,0.006,3
16,9,5,0,0.0064,9
17,9,0,0,0.0068,9
18,9,0,0,0.0072,9
19,9,0,0,0.0076,9
20,10,1,0,0.008,10
21,10,0,0,0.0084,10
22,10,0,0,0.0088,10
23,10,0,0,0.0092,10
24,11,1,0,0.0096,11
25,11,0,0,0.01,11
26,11,0,0,0.0104,11
27,11,0,0,0.0108,11
28,21,9,0,0.0112,21
29,21,0,0,0.0116,21
30,21,0,0,0.012,21
31,21,0,0,0.0124,21
32,27,5,0,0.0128,27
33,27,0,0,0.0132,27
34,27,0,0,0.0136,27
35,27,0,0,0.014,27
36,28,1,0,0.0144,28
37,28,0,0,0.0148,28
38,28,0,0,0.0152,28
39,28,0,0,0.0156,28
40,29,1,0,0.016,29
41,29,0,0,0.0164,29
42,29,0,0,0.0168,29
43,29,0,0,0.0172,29
44,48,13,0,0.0176,48
45,48,0,0,0.018,48
46,48,0,0,0.0184,48
47,48,0,0,0.0188,48
48,49,1,0,0.0192,49
49,49,0,0,0.0196,49
50,49,0,0,0.02,49
51,49,0,0,0.0204,49
52,50,1,0,0.0208,50
53,50,0,0,0.0212,50
54,50,0,0,0.0216,50
55,50,0,0,0.022,50
56,81,21,0,0.0224,81
57,81,0,0,0.0228,81
58,81,0,0,0.0232,81
59,81,0,0,0.0236,81
60,87,5,0,0.024,87
61,87,0,0,0.0244,87
62,87,0,0,0.0248,87
63,87,0,0,0.0252,87
64,88,1,0,0.0256,88
65,88,0,0,0.026,88
66,88,0,0,0.0264,88
67,88,0,0,0.0268,88
68,89,1,0,0.0272,89
69,89,0,0,0.0276,89
70,89,0,0,0.028,89
71,89,0,0,0.0284,89
72,99,9,0,0.0288,99
73,99,0,0,0.0292,99
74,99,0,0,0.0296,99
75,99,0,0,0.03,99
76,130,25,0,0.0304,130
77,130,0,0,0.0308,130
78,130,0,0,0.0312,130
79,130,0,0,0.0316,130
80,131,1,0,0.032,131
81,131,0,0,0.0324,131
82,131,0,0,0.0328,131
83,131,0,0,0.0332,131
84,132,1,0,0.0336,132
85,132,0,0,0.034,132
86,132,0,0,0.0344,132
87,132,0,0,0.0348,132
88,184,33,0,0.0352,184
89,184,0,0,0.0356,184
90,184,0,0,0.036,184
91,184,0,0,0.0364,184
92,185,1,0,0.0368,185
93,185,0,0,0.0372,185
94,185,0,0,0.0376,185
95,185,0,0,0.038,185
96,186,1,0,0.0384,186
97,186,0,0,0.0388,186
98,186,0,0,0.0392,186
99,186,0,0,0.0396,186
100,225,29,0,0.04,225
101,225,0,0,0.0404,225
102,225,0,0,0.0408,225
103,225,0,0,0.0412,225
104,231,5,0,0.0416,231
105,231,0,0,0.042,231
106,231,0,0,0.0424,231
107,231,0,0,0.0428,231
108,232,1,0,0.0432,232
109,232,0,0,0.0436,232
110,232,0,0,0.044,232
111,232,0,0,0.0444,232
112,233,1,0,0.0448,233
113,233,0,0,0.0452,233
114,233,0,0,0.0456,233
115,233,0,0,0.046,233
116,264,21,0,0.0464,264
117,264,0,0,0.0468,264
118,264,0,0,0.0472,264
119,264,0,0,0.0476,264
120,274,9,0,0.048,274
121,274,0,0,0.0484,274
122,274,0,0,0.0488,274
123,274,0,0,0.0492,274
124,275,1,0,0.0496,275
125,275,0,0,0.05,275
126,275,0,0,0.0504,275
127,275,0,0,0.0508,275
128,342,45,0,0.0512,342
129,342,0,0,0.0516,342
130,342,0,0,0.052,342
131,342,0,0,0.0524,342
132,361,13,0,0.0528,361
133,361,0,0,0.0532,361
134,361,0,0,0.0536,361
135,361,0,0,0.054,361
136,362,1,0,0.0544,362
137,362,0,0,0.0548,362
138,362,0,0,0.0552,362
139,362,0,0,0.0556,362
140,363,1,0,0.056,363
141,363,0,0,0.0564,363
142,363,0,0,0.0568,363
143,363,0,0,0.0572,363
