t,total_topples_at_t,unique_topples_at_t,edge_loss,average_height,cum_topples
1,0,0,0,0.0011111111111111111,0
2,0,0,0,0.0022222222222222222,0
3,0,0,0,0.0033333333333333335,0
4,1,1,0,0.0044444444444444444,1
5,1,0,0,0.005555555555555556,1
6,1,0,0,0.006666666666666667,1
7,1,0,0,0.0077777777777777776,1
8,2,1,0,0.008888888888888889,2
9,2,0,0,0.01,2
10,2,0,0,0.011111111111111112,2
11,2,0,0,0.012222222222222223,2
12,3,1,0,0.013333333333333334,3
13,3,0,0,0.014444444444444444,3
14,3,0,0,0.015555555555555555,3
15,3,0,0,0.016666666666666666,3
16,9,5,0,0.017777777777777778,9
17,9,0,0,0.01888888888888889,9
18,9,0,0,0.02,9
19,9,0,0,0.021111111111111112,9
20,10,1,0,0.022222222222222223,10
21,10,0,0,0.023333333333333334,10
22,10,0,0,0.024444444444444446,10
23,10,0,0,0.025555555555555557,10
24,11,1,0,0.02666666666666667,11
25,11,0,0,0.027777777777777776,11
26,11,0,0,0.028888888888888888,11
27,11,0,0,0.03,11
28,21,9,0,0.03111111111111111,21
29,21,0,0,0.03222222222222222,21
30,21,0,0,0.03333333333333333,21
31,21,0,0,0.034444444444444444,21
32,27,5,0,0.035555555555555556,27
33,27,0,0,0.03666666666666667,27
34,27,0,0,0.03777777777777778,27
35,27,0,0,0.03888888888888889,27
36,28,1,0,0.04,28
37,28,0,0,0.04111111111111111,28
38,28,0,0,0.042222222222222223,28
39,28,0,0,0.043333333333333335,28
40,29,1,0,0.044444444444444446,29
41,29,0,0,0.04555555555555556,29
42,29,0,0,0.04666666666666667,29
43,29,0,0,0.04777777777777778,29
44,48,13,0,0.04888888888888889,48
45,48,0,0,0.05,48
46,48,0,0,0.051111111111111114,48
47,48,0,0,0.052222222222222225,48
48,49,1,0,0.05333333333333334,49
49,49,0,0,0.05444444444444444,49
50,49,0,0,0.05555555555555555,49
51,49,0,0,0.056666666666666664,49
52,50,1,0,0.057777777777777775,50
53,50,0,0,0.058888888888888886,50
54,50,0,0,0.06,50
55,50,0,0,0.06111111111111111,50
56,81,21,0,0.06222222222222222,81
57,81,0,0,0.06333333333333334,81
58,81,0,0,0.06444444444444444,81
59,81,0,0,0.06555555555555556,81
60,87,5,0,0.06666666666666667,87
61,87,0,0,0.06777777777777778,87
62,87,0,0,0.06888888888888889,87
63,87,0,0,0.07,87
64,88,1,0,0.07111111111111111,88
65,88,0,0,0.07222222222222222,88
